File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
93,0.0200,-0.0800,-0.2200,-0.0056,-0.0152,0.9928,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
94,0.0200,0.0200,-0.2400,-0.0048,-0.0152,0.9928,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
95,-0.0400,-0.0400,-0.1200,-0.0040,-0.0144,0.9920,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
96,-0.0400,-0.0600,-0.3400,-0.0056,-0.0136,0.9904,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9478
97,0.0400,0.0000,-0.2200,-0.0072,-0.0128,0.9920,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9478
98,-0.0800,0.0400,-0.1400,-0.0072,-0.0136,0.9928,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9478
99,-0.1200,-0.1200,-0.0600,-0.0088,-0.0152,0.9896,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
100,0.0200,0.0600,-0.3400,-0.0064,-0.0160,0.9904,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
101,0.0400,-0.1200,-0.2400,-0.0080,-0.0152,0.9920,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
102,0.0600,-0.0200,0.0400,-0.0056,-0.0152,0.9936,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
103,-0.0200,-0.0200,-0.0200,-0.0064,-0.0152,0.9936,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
104,0.1800,-0.1000,-0.1600,-0.0072,-0.0160,0.9936,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
105,0.1000,0.0600,-0.0400,-0.0088,-0.0160,0.9912,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
